temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,dewpoint_2m_mean,pressure_msl_mean,cloudcover_mean,date,temperature_2m_mean_7d_avg,temperature_2m_mean_3d_avg,windspeed_10m_max_7d_avg,windspeed_10m_max_3d_avg,relative_humidity_2m_mean_7d_avg,relative_humidity_2m_mean_3d_avg,precipitation_sum_7d_avg,precipitation_sum_3d_avg,shortwave_radiation_sum_7d_avg,shortwave_radiation_sum_3d_avg,cloudcover_mean_7d_avg,cloudcover_mean_3d_avg,dewpoint_2m_mean_7d_avg,dewpoint_2m_mean_3d_avg,pressure_msl_mean_7d_avg,pressure_msl_mean_3d_avg,temp_range,humidity_range
33.1,20.1,25.7,35.3,22.8,27.9,0.0,0.0,15.6,32.4,113,21.4,5.06,98,37,71,19.0,1016.6,49,2024-02-13,26.985714285714288,25.833333333333332,17.857142857142858,17.866666666666664,71.85714285714286,71.0,0.04285714285714287,0.0,19.845714285714283,20.959999999999997,41.142857142857146,55.666666666666664,20.7,19.466666666666665,1016.0571428571429,1017.0666666666667,13.0,61
33.5,20.3,25.8,35.1,23.2,27.9,0.0,0.0,15.1,32.8,116,20.89,4.99,99,28,70,18.4,1015.7,80,2024-02-14,26.642857142857142,25.633333333333336,17.757142857142856,16.63333333333333,71.57142857142857,71.0,0.04285714285714287,0.0,20.032857142857143,21.19666666666667,49.0,68.0,20.214285714285715,18.933333333333334,1016.157142857143,1016.5,13.2,71
33.8,19.9,25.4,35.3,22.7,27.3,0.0,0.0,14.2,30.2,116,20.24,4.93,100,23,69,17.5,1015.6,62,2024-02-15,26.24285714285714,25.633333333333336,17.02857142857143,14.966666666666663,71.14285714285714,70.0,0.04285714285714287,0.0,20.084285714285716,20.843333333333334,53.42857142857143,63.666666666666664,19.657142857142855,18.3,1016.3714285714286,1015.9666666666667,13.899999999999999,77
34.9,19.0,25.8,35.2,21.1,27.1,0.0,0.0,17.6,36.0,107,22.14,5.44,98,21,62,16.0,1015.9,1,2024-02-16,25.97142857142857,25.666666666666668,16.985714285714288,15.633333333333331,69.42857142857143,67.0,0.0,0.0,20.675714285714285,21.09,49.142857142857146,47.666666666666664,18.8,17.3,1016.4428571428572,1015.7333333333335,15.899999999999999,77
34.5,19.9,26.0,36.0,22.9,28.2,0.0,0.0,14.2,29.9,133,21.54,5.11,99,26,67,17.6,1014.1,13,2024-02-17,25.785714285714285,25.733333333333334,16.385714285714283,15.33333333333333,68.71428571428571,66.0,0.0,0.0,21.09857142857143,21.306666666666665,46.142857142857146,25.333333333333332,18.271428571428572,17.033333333333335,1016.0714285714286,1015.1999999999999,14.600000000000001,73
33.7,21.2,26.4,36.7,25.3,29.8,0.0,0.0,17.7,33.1,157,19.29,4.61,99,37,76,20.9,1013.2,51,2024-02-18,25.785714285714285,26.066666666666666,16.228571428571428,16.499999999999996,69.57142857142857,68.33333333333333,0.0,0.0,20.971428571428568,20.99,47.285714285714285,21.666666666666668,18.400000000000002,18.166666666666668,1015.4714285714286,1014.4,12.500000000000004,62
34.2,21.2,26.9,36.2,25.1,30.0,0.0,0.0,18.7,38.9,156,19.9,4.96,99,30,74,20.5,1013.4,80,2024-02-19,26.0,26.433333333333334,16.15714285714286,16.866666666666664,69.85714285714286,72.33333333333333,0.0,0.0,20.77142857142857,20.243333333333332,48.0,48.0,18.557142857142853,19.666666666666668,1014.9285714285714,1013.5666666666666,13.000000000000004,69
35.7,22.4,27.8,37.2,26.7,31.1,0.0,0.0,20.8,42.1,172,20.75,5.26,99,27,73,21.2,1012.5,65,2024-02-20,26.3,27.03333333333333,16.9,19.066666666666663,70.14285714285714,74.33333333333333,0.0,0.0,20.678571428571427,19.98,50.285714285714285,65.33333333333333,18.87142857142857,20.866666666666664,1014.342857142857,1013.0333333333333,13.300000000000004,72
36.2,22.6,28.4,37.2,26.5,31.5,0.0,0.0,18.5,34.2,178,20.19,5.2,98,28,70,20.8,1010.9,47,2024-02-21,26.671428571428574,27.7,17.385714285714286,19.333333333333332,70.14285714285714,72.33333333333333,0.0,0.0,20.57857142857143,20.28,45.57142857142857,64.0,19.214285714285715,20.833333333333332,1013.657142857143,1012.2666666666668,13.600000000000001,70
35.0,22.9,28.1,37.0,27.0,31.8,0.1,0.1,23.5,45.7,166,19.14,4.92,98,36,74,22.4,1011.0,79,2024-02-22,27.057142857142857,28.100000000000005,18.714285714285715,20.933333333333334,70.85714285714286,72.33333333333333,0.014285714285714303,0.03333333333333333,20.42142857142857,20.026666666666667,48.0,63.666666666666664,19.914285714285715,21.46666666666667,1013.0,1011.4666666666666,12.100000000000001,62
